Original_Row_Index,Inorganic phosphor,Host,1st dopant,Reference,MP-ID,ICSD-ID,CV_Fold,Emission max. (nm)
1858,Ca9NaZnP7O28Eu0.072,Ca9NaZnP7O28,Eu,https://doi.org/10.1016/j.dyepig.2017.12.026,mp-1221168,,5,616.0
1859,Ca9NaZnP7O28Eu0.09,Ca9NaZnP7O28,Eu,https://doi.org/10.1016/j.dyepig.2017.12.026,mp-1221168,,5,616.0
1860,CaZrO3Eu0.05,CaZrO3,Eu,https://doi.org/10.1007/s10854-018-0505-z,"mp-4571,mp-776024,mp-542112", icsd-130053 icsd-183757 icsd-239370 icsd-167889 icsd-97465 icsd-37264 icsd-183758 icsd-97463 icsd-97466 icsd-97464 icsd-29003 icsd-56094,9,614.0
1861,CaZrO3Bi0.009,CaZrO3,Bi,https://doi.org/10.1007/s10854-018-0505-z,"mp-4571,mp-776024,mp-542112", icsd-130053 icsd-183757 icsd-239370 icsd-167889 icsd-97465 icsd-37264 icsd-183758 icsd-97463 icsd-97466 icsd-97464 icsd-29003 icsd-56094,5,390.0
1862,Ba2.99CaKP3O12Eu0.01,Ba2.99CaKP3O12,Eu,https://doi.org/10.1016/j.cej.2018.09.036,,,2,460.0
1863,Ba1.8LiGaP4O14Eu0.2,Ba1.8LiGaP4O14,Eu,https://doi.org/10.1039/C9DT03105G,,,10,595.0
1864,Cd2V2O7Eu0.02,Cd2V2O7,Eu,https://doi.org/10.1016/j.ceramint.2018.02.173,mp-18740, icsd-24191 icsd-62081,1,618.0
1865,Cd2V2O7Li0.04Eu0.02,Cd2V2O7Li0.04,Eu,https://doi.org/10.1016/j.ceramint.2018.02.173,mp-18740, icsd-24191 icsd-62081,6,618.0
1866,CaZrO3Er0.03,CaZrO3,Er,https://doi.org/10.1016/j.materresbull.2012.06.022,mp-18740, icsd-24191 icsd-62081,8,548.0
1867,Ba2Y1.6La4Si6O26Eu2.4,Ba2Y1.6La4Si6O26,Eu,https://doi.org/10.1016/j.jallcom.2019.02.229,,,1,617.0
1868,Ba2Y3.2La2.4Si6O26Eu2.4,Ba2Y3.2La2.4Si6O26,Eu,https://doi.org/10.1016/j.jallcom.2019.02.229,,,6,617.0
1869,Ba2Y4La1.6Si6O26Eu2.4,Ba2Y4La1.6Si6O26,Eu,https://doi.org/10.1016/j.jallcom.2019.02.229,,,4,617.0
1870,Sr1.95Mg3P4O15Eu0.05,Sr1.95Mg3P4O15,Eu,https://doi.org/10.1111/jace.15334,,,1,589.0
1871,Sr1.9Mg3P4O15Eu0.1,Sr1.9Mg3P4O15,Eu,https://doi.org/10.1111/jace.15334,,,5,589.0
1872,Sr1.85Mg3P4O15Eu0.15,Sr1.85Mg3P4O15,Eu,https://doi.org/10.1111/jace.15334,,,3,589.0
1873,Sr1.8Mg3P4O15Eu0.2,Sr1.8Mg3P4O15,Eu,https://doi.org/10.1111/jace.15334,,,8,589.0
1874,Sr1.75Mg3P4O15Eu0.25,Sr1.75Mg3P4O15,Eu,https://doi.org/10.1111/jace.15334,,,4,589.0
1875,Sr1.7Mg3P4O15Eu0.3,Sr1.7Mg3P4O15,Eu,https://doi.org/10.1111/jace.15334,,,2,589.0
1876,Sr1.65Mg3P4O15Eu0.35,Sr1.65Mg3P4O15,Eu,https://doi.org/10.1111/jace.15334,,,5,589.0
1877,Sr1.6Mg3P4O15Eu0.4,Sr1.6Mg3P4O15,Eu,https://doi.org/10.1111/jace.15334,,,6,589.0
1878,Sr1.2Mg3P4O15Li0.4Eu0.4,Sr1.2Mg3P4O15Li0.4,Eu,https://doi.org/10.1111/jace.15334,,,5,589.0
1879,Sr1.2Mg3P4O15Na0.4Eu0.4,Sr1.2Mg3P4O15Na0.4,Eu,https://doi.org/10.1111/jace.15334,,,7,589.0
1880,Sr1.2Mg3P4O15K0.4Eu0.4,Sr1.2Mg3P4O15K0.4,Eu,https://doi.org/10.1111/jace.15334,,,5,589.0
1881,Sr1.6Mg3P3.6Si0.4O15Eu0.4,Sr1.6Mg3P3.6Si0.4O15,Eu,https://doi.org/10.1111/jace.15334,,,10,589.0
1882,Sr1.4Mg3P4O15Eu0.4,Sr1.4Mg3P4O15,Eu,https://doi.org/10.1111/jace.15334,,,5,589.0
1883,Sr1.55Mg3P4O15Eu0.45,Sr1.55Mg3P4O15,Eu,https://doi.org/10.1111/jace.15334,,,6,589.0
1884,Sr1.5Mg3P4O15Eu0.5,Sr1.5Mg3P4O15,Eu,https://doi.org/10.1111/jace.15334,,,10,589.0
1885,CaSb2O6Bi0.75,CaSb2O6,Bi,https://doi.org/10.1016/j.mssp.2015.09.015,"mp-9125,mvc-1657", icsd-74539,8,437.0
1886,CaSb2O6Li0.75Bi0.75,CaSb2O6Li0.75,Bi,https://doi.org/10.1016/j.mssp.2015.09.015,"mp-9125,mvc-1657", icsd-74539,3,437.0
1887,CaSb2O6Na0.75Bi0.75,CaSb2O6Na0.75,Bi,https://doi.org/10.1016/j.mssp.2015.09.015,"mp-9125,mvc-1657", icsd-74539,2,437.0
